Scrip Code,COMPANY,ISIN No.,Close Price,IndexName
513683,NLC India Limited,INE589A01014,228.5,BSE 150 MidCap Indexindex
526371,NMDC LTD.,INE584A01023,69.93,BSE 150 MidCap Indexindex
544289,NTPC GREEN ENERGY LIMITED,INE0ONG01011,105.95,BSE 150 MidCap Indexindex
533273,OBEROI REALTY LTD.,INE093I01010,1918.55,BSE 150 MidCap Indexindex
533106,OIL INDIA LTD.,INE274J01014,434.25,BSE 150 MidCap Indexindex
543396,One 97 Communications Limited,INE982J01020,919.4,BSE 150 MidCap Indexindex
532466,ORACLE FINANCIAL SERVICES SOFT,INE881D01027,9001.5,BSE 150 MidCap Indexindex
523642,P.I.INDUSTRIES LTD.,INE603J01030,4154.25,BSE 150 MidCap Indexindex
532827,PAGE INDUSTRIES LTD.,INE761H01022,49495.7,BSE 150 MidCap Indexindex
500368,Patanjali Foods Limited,INE619A01035,1645.45,BSE 150 MidCap Indexindex
543390,PB Fintech Limited,INE417T01026,1823.7,BSE 150 MidCap Indexindex
